country,world_region,country_code,total_funding,company_count,avg_funding
United States,North America,USA,310588431344.0,18142,17119856.0
United Kingdom,Europe,GBR,17705621151.0,1676,10564213.0
China,Asia Pacific,CHN,10689737173.0,273,39156546.0
Canada,North America,CAN,9866361996.0,853,11566661.0
India,Asia Pacific,IND,6141410131.0,399,15392005.0
Germany,Europe,DEU,5765773985.0,451,12784421.0
France,Europe,FRA,4595137753.0,626,7340476.0
Israel,Middle East & Africa,ISR,4480091628.0,467,9593344.0
Switzerland,Europe,CHE,2829252715.0,140,20208948.0
Netherlands,Europe,NLD,2353969347.0,158,14898540.0
Russia,Europe,RUS,2293944072.0,147,15605062.0
Spain,Europe,ESP,2137335274.0,329,6496460.0
Ireland,Europe,IRL,2080667988.0,208,10003211.0
Australia,Asia Pacific,AUS,1672412184.0,209,8001972.0
Japan,Asia Pacific,JPN,1622624271.0,124,13085680.0
Sweden,Europe,SWE,1608106895.0,220,7309577.0
Malaysia,Asia Pacific,MYS,1524360411.0,34,44834130.0
Luxembourg,Europe,LUX,1111747626.0,16,69484227.0
Brazil,Latin America,BRA,1103603950.0,122,9045934.0
Denmark,Europe,DNK,1090568437.0,112,9737218.0
Belgium,Europe,BEL,1077453010.0,111,9706784.0
Finland,Europe,FIN,1051915333.0,110,9562867.0
Singapore,Asia Pacific,SGP,822762910.0,151,5448761.0
Norway,Europe,NOR,785523501.0,66,11901871.0
BMU,Other,BMU,751666000.0,3,250555333.0
Italy,Europe,ITA,624828897.0,182,3433126.0
Taiwan,Asia Pacific,TWN,547836578.0,19,28833504.0
Czech Republic,Europe,CZE,542211004.0,25,21688440.0
Austria,Europe,AUT,540676720.0,64,8448074.0
New Zealand,Asia Pacific,NZL,529353333.0,31,17075914.0
South Korea,Asia Pacific,KOR,372312363.0,45,8273608.0
Hong Kong,Asia Pacific,HKG,271401384.0,47,5774498.0
Indonesia,Asia Pacific,IDN,259650000.0,18,14425000.0
Mexico,North America,MEX,240177654.0,28,8577773.0
Turkey,Middle East & Africa,TUR,237099078.0,37,6408083.0
Argentina,Latin America,ARG,200572503.0,77,2604838.0
UAE,Middle East & Africa,ARE,192505250.0,20,9625262.0
Portugal,Europe,PRT,176347381.0,28,6298121.0
Philippines,Asia Pacific,PHL,161580200.0,16,10098762.0
CYM,Other,CYM,159670000.0,7,22810000.0
Colombia,Latin America,COL,156499500.0,17,9205853.0
Egypt,Middle East & Africa,EGY,146005000.0,12,12167083.0
Vietnam,Asia Pacific,VNM,107600000.0,5,21520000.0
South Africa,Middle East & Africa,ZAF,91326218.0,32,2853944.0
Nigeria,Middle East & Africa,NGA,74941966.0,11,6812906.0
Poland,Europe,POL,74204377.0,41,1809863.0
Kenya,Middle East & Africa,KEN,68129922.0,12,5677494.0
MLT,Other,MLT,54937071.0,3,18312357.0
SWZ,Other,SWZ,51141000.0,2,25570500.0
Estonia,Europe,EST,50506901.0,21,2405091.0
ISL,Other,ISL,48058840.0,14,3432774.0
CYP,Other,CYP,43597173.0,7,6228168.0
Hungary,Europe,HUN,36213650.0,18,2011869.0
Lithuania,Europe,LTU,31904284.0,13,2454176.0
UMI,Other,UMI,30500000.0,1,30500000.0
Chile,Latin America,CHL,26722000.0,40,668050.0
Bangladesh,Asia Pacific,BGD,21813500.0,5,4362700.0
Jordan,Middle East & Africa,JOR,21583350.0,8,2697919.0
ANT,Other,ANT,21416803.0,6,3569467.0
Peru,Latin America,PER,20255000.0,5,4051000.0
GIB,Other,GIB,18929912.0,1,18929912.0
Greece,Europe,GRC,16849299.0,23,732578.0
Bulgaria,Europe,BGR,14226108.0,40,355653.0
Slovakia,Europe,SVK,12019820.0,8,1502478.0
Thailand,Asia Pacific,THA,11927000.0,10,1192700.0
ROM,Other,ROM,8928314.0,11,811665.0
LIE,Other,LIE,7500000.0,1,7500000.0
Saudi Arabia,Middle East & Africa,SAU,6000000.0,1,6000000.0
CSS,Other,CSS,4344660.0,2,2172330.0
PRK,Other,PRK,4100000.0,1,4100000.0
ZMB,Other,ZMB,4000000.0,1,4000000.0
TUN,Other,TUN,3920000.0,1,3920000.0
SMR,Other,SMR,3859800.0,1,3859800.0
MAR,Other,MAR,3200000.0,2,1600000.0
Ukraine,Europe,UKR,2811000.0,20,140550.0
Pakistan,Asia Pacific,PAK,2641000.0,6,440167.0
HMI,Other,HMI,2573200.0,1,2573200.0
PAN,Other,PAN,2353000.0,3,784333.0
Lebanon,Middle East & Africa,LBN,2052500.0,7,293214.0
ALB,Other,ALB,2050000.0,2,1025000.0
DOM,Other,DOM,2038631.0,2,1019316.0
SOM,Other,SOM,2000000.0,1,2000000.0
Slovenia,Europe,SVN,1970888.0,4,492722.0
NRU,Other,NRU,1672580.0,1,1672580.0
Croatia,Europe,HRV,1541663.0,5,308333.0
Uruguay,Latin America,URY,1220000.0,5,244000.0
BHS,Other,BHS,1200000.0,1,1200000.0
FST,Other,FST,1077250.0,2,538625.0
GIN,Other,GIN,1000000.0,1,1000000.0
PST,Other,PST,1000000.0,1,1000000.0
BRB,Other,BRB,798679.0,1,798679.0
MCO,Other,MCO,657000.0,1,657000.0
CRI,Other,CRI,649000.0,4,162250.0
Latvia,Europe,LVA,624680.0,3,208227.0
GLP,Other,GLP,517560.0,1,517560.0
KHM,Other,KHM,450000.0,1,450000.0
UGA,Other,UGA,417000.0,4,104250.0
Ecuador,Latin America,ECU,378813.0,1,378813.0
GTM,Other,GTM,363600.0,1,363600.0
GHA,Other,GHA,349616.0,4,87404.0
AZE,Other,AZE,300000.0,2,150000.0
NPL,Other,NPL,200000.0,1,200000.0
VEN,Other,VEN,165000.0,2,82500.0
SEN,Other,SEN,150000.0,1,150000.0
REU,Other,REU,146240.0,1,146240.0
MMR,Other,MMR,145000.0,1,145000.0
GEO,Other,GEO,108000.0,2,54000.0
UZB,Other,UZB,90000.0,1,90000.0
SLV,Other,SLV,50000.0,1,50000.0
MKD,Other,MKD,38484.0,1,38484.0
SYC,Other,SYC,35000.0,1,35000.0
BLR,Other,BLR,30000.0,2,15000.0
BHR,Other,BHR,20000.0,1,20000.0
VGB,Other,VGB,10500.0,1,10500.0
NER,Other,NER,6000.0,1,6000.0
CMR,Other,CMR,4561.0,1,4561.0
