funding_year,country,total_funding,deal_count
1960.0,United Kingdom,0.0,1
1960.0,United States,52736030.0,8
1973.0,United States,0.0,1
1974.0,United Kingdom,0.0,1
1974.0,United States,0.0,1
1984.0,United States,100000.0,2
1984.0,Unknown,41000.0,1
1985.0,United States,0.0,1
1987.0,United States,2500000.0,1
1987.0,Unknown,0.0,1
1989.0,United States,15000.0,1
1990.0,United States,1000000.0,1
1992.0,Unknown,2000000.0,1
1993.0,Germany,0.0,1
1993.0,United States,125000.0,1
1994.0,Israel,400000.0,1
1994.0,Unknown,13000000.0,1
1995.0,Japan,0.0,1
1995.0,United States,15300000.0,5
1995.0,Unknown,2000000.0,1
1996.0,Argentina,3930000.0,1
1996.0,United Kingdom,0.0,1
1996.0,United States,1612500.0,4
1996.0,Unknown,8000000.0,1
1997.0,Argentina,2520000.0,1
1997.0,Japan,100000.0,1
1997.0,United States,57000000.0,5
1997.0,Unknown,5000000.0,2
1998.0,Canada,0.0,1
1998.0,Germany,0.0,1
1998.0,Poland,2000.0,1
1998.0,United Kingdom,0.0,4
1998.0,United States,123536990.0,17
1998.0,Unknown,29600000.0,4
1999.0,Argentina,1500000.0,1
1999.0,Brazil,1000000.0,1
1999.0,Canada,0.0,1
1999.0,Germany,2000000.0,2
1999.0,Ireland,500000.0,2
1999.0,Israel,12000000.0,1
1999.0,United Kingdom,4126789.0,1
1999.0,United States,536379182.0,58
1999.0,Unknown,6432400.0,8
2000.0,Argentina,17170000.0,2
2000.0,Australia,4200000.0,1
2000.0,Belgium,1400000.0,2
2000.0,Brazil,7000000.0,2
2000.0,Canada,0.0,1
2000.0,Denmark,0.0,1
2000.0,France,2000000.0,2
2000.0,Germany,0.0,3
2000.0,Ireland,0.0,1
2000.0,Italy,1356210.0,1
2000.0,Japan,12083943.0,1
2000.0,Malaysia,5000000.0,1
2000.0,Russia,8300000.0,2
2000.0,Switzerland,14000000.0,1
2000.0,United Kingdom,7520257.0,3
2000.0,United States,1257983989.0,88
2000.0,Unknown,97674291.0,12
2001.0,Argentina,655000.0,2
2001.0,Belgium,11686778.0,2
2001.0,Brazil,2000000.0,1
2001.0,Ireland,2178358.0,2
2001.0,Japan,7278622.0,2
2001.0,United Kingdom,56041355.0,6
2001.0,United States,673526122.0,71
2001.0,Unknown,80474501.0,8
2002.0,Germany,38692400.0,3
2002.0,Hong Kong,495650.0,1
2002.0,Ireland,9938000.0,2
2002.0,Israel,1000000.0,1
2002.0,Luxembourg,250000.0,1
2002.0,Malaysia,2400000.0,1
2002.0,Philippines,0.0,1
2002.0,Sweden,150000.0,1
2002.0,United Kingdom,56240755.0,10
2002.0,United States,521518200.0,82
2002.0,Unknown,276813718.0,12
2003.0,Australia,540000.0,3
2003.0,Belgium,6292200.0,1
2003.0,Canada,0.0,1
2003.0,Denmark,1040000.0,3
2003.0,Germany,21200000.0,3
2003.0,Israel,7500000.0,1
2003.0,Italy,279041.0,2
2003.0,Japan,600000.0,1
2003.0,Luxembourg,0.0,1
2003.0,Malaysia,13000000.0,1
2003.0,Pakistan,0.0,1
2003.0,Spain,6833575.0,3
2003.0,Switzerland,72829.0,1
2003.0,UMI,500000.0,1
2003.0,United Kingdom,69667549.0,14
2003.0,United States,744909769.0,103
2003.0,Unknown,32481956.0,14
2004.0,Australia,1050000.0,2
2004.0,BMU,0.0,1
2004.0,Brazil,1350000.0,2
2004.0,Canada,16500000.0,4
2004.0,China,100000000.0,1
2004.0,Finland,0.0,1
2004.0,Germany,20342320.0,5
2004.0,Ireland,3730770.0,2
2004.0,Israel,2000000.0,1
2004.0,Italy,8923600.0,1
2004.0,Japan,11190620.0,3
2004.0,Luxembourg,18800000.0,1
2004.0,Netherlands,0.0,1
2004.0,Russia,0.0,2
2004.0,Singapore,25000.0,1
2004.0,Switzerland,16000000.0,1
2004.0,United Kingdom,83162303.0,24
2004.0,United States,1767674018.0,213
2004.0,Unknown,149232232.0,20
2005.0,Australia,38556000.0,15
2005.0,Austria,4665080.0,4
2005.0,Belgium,29665600.0,6
2005.0,Brazil,750000.0,2
2005.0,Bulgaria,9300000.0,1
2005.0,CRI,50000.0,1
2005.0,CYM,1250000.0,1
2005.0,Canada,575474500.0,66
2005.0,China,75800000.0,8
2005.0,Czech Republic,56000000.0,2
2005.0,Denmark,38578000.0,8
2005.0,Finland,18550000.0,3
2005.0,France,243986220.0,66
2005.0,Germany,239984445.0,36
2005.0,Hong Kong,500000.0,1
2005.0,Hungary,6280000.0,2
2005.0,India,63300000.0,8
2005.0,Indonesia,2000000.0,1
2005.0,Ireland,104352725.0,18
2005.0,Israel,231800000.0,40
2005.0,Italy,3778285.0,4
2005.0,Japan,11277464.0,2
2005.0,Luxembourg,3900000.0,1
2005.0,Malaysia,168000000.0,1
2005.0,Netherlands,32592480.0,7
2005.0,New Zealand,3000000.0,1
2005.0,Nigeria,10000000.0,1
2005.0,Norway,18590000.0,5
2005.0,Poland,233000.0,2
2005.0,Portugal,22818000.0,4
2005.0,Russia,7000000.0,5
2005.0,Slovakia,500000.0,1
2005.0,South Africa,6307000.0,3
2005.0,South Korea,12470000.0,2
2005.0,Spain,10546725.0,11
2005.0,Sweden,86085765.0,17
2005.0,Switzerland,105556520.0,10
2005.0,United Kingdom,582868245.0,106
2005.0,United States,11622005916.0,1095
2005.0,Unknown,439451440.0,53
2006.0,Australia,19350000.0,8
2006.0,Austria,40684000.0,6
2006.0,BMU,210000000.0,2
2006.0,Belgium,74636150.0,12
2006.0,Brazil,1000000.0,1
2006.0,Bulgaria,5000.0,1
2006.0,CRI,62000.0,1
2006.0,CYM,5000000.0,1
2006.0,Canada,455407253.0,69
2006.0,Chile,6000.0,1
2006.0,China,483105000.0,37
2006.0,Colombia,350000.0,2
2006.0,Czech Republic,3040100.0,3
2006.0,Denmark,59977100.0,9
2006.0,Egypt,40830000.0,1
2006.0,Estonia,3443000.0,3
2006.0,Finland,82784720.0,15
2006.0,France,418206836.0,79
2006.0,Germany,281249469.0,73
2006.0,Greece,1280000.0,1
2006.0,Hong Kong,11040000.0,6
2006.0,India,266980000.0,34
2006.0,Indonesia,3000000.0,1
2006.0,Ireland,64028258.0,13
2006.0,Israel,423615271.0,63
2006.0,Italy,17904036.0,7
2006.0,Japan,59679068.0,5
2006.0,Jordan,5250000.0,1
