investor_name,total_investments,deal_count,avg_deal_size
Kleiner Perkins Caufield & Byers,12847571494.0,478,26877765.0
New Enterprise Associates,11181949077.0,514,21712522.0
Accel Partners,9468512399.0,479,19726067.0
Sequoia Capital,8184332110.0,507,16142667.0
Goldman Sachs,7897128469.0,156,50622618.0
Intel Capital,7689751474.0,529,14536392.0
Greylock Partners,5910058200.0,307,19251004.0
Draper Fisher Jurvetson (DFJ),5788748002.0,461,12529758.0
Benchmark,5400188157.0,306,17647674.0
Oak Investment Partners,5282632528.0,164,32211174.0
Lightspeed Venture Partners,5078628511.0,282,18009321.0
Andreessen Horowitz,5072092214.0,245,20702417.0
Index Ventures,5056935582.0,295,17142155.0
Bessemer Venture Partners,5022722198.0,283,17748135.0
Redpoint Ventures,4936187050.0,250,19744748.0
Battery Ventures,4562046615.0,240,19008528.0
Khosla Ventures,4156490668.0,244,17034798.0
Venrock,3839413160.0,235,16268700.0
US Venture Partners,3822835578.0,231,16477740.0
Norwest Venture Partners,3759592674.0,219,17167090.0
DAG Ventures,3759093198.0,170,22112313.0
Highland Capital Partners,3704039835.0,228,16245789.0
General Catalyst Partners,3682858268.0,241,15281570.0
VantagePoint Capital Partners,3601593223.0,126,28584073.0
Canaan Partners,3499030655.0,236,14826401.0
Menlo Ventures,3450589964.0,244,14141762.0
Foundation Capital,3355279057.0,203,16528468.0
Digital Sky Technologies,3183807000.0,12,265317250.0
Institutional Venture Partners,3155887000.0,82,38486427.0
Insight Venture Partners,3151146570.0,86,36641239.0
Matrix Partners,3029276017.0,208,14494144.0
T. Rowe Price,3003000000.0,29,103551724.0
InterWest Partners,2995515901.0,178,16828741.0
Polaris Partners,2993842592.0,222,13485777.0
Technology Crossover Ventures,2898673285.0,33,87838584.0
North Bridge Venture Partners,2673288124.0,191,13996273.0
Marlin Equity Partners,2600000000.0,1,2600000000.0
Mayfield Fund,2581089993.0,200,12905450.0
OrbiMed Advisors,2567781949.0,95,27029284.0
Mohr Davidow Ventures,2542785994.0,168,15046071.0
Domain Associates,2527717641.0,106,23846393.0
U.S. Department of Energy,2525330000.0,36,70148056.0
3i Group,2518834423.0,105,23988899.0
Charles River Ventures,2466330945.0,223,11059780.0
Eagle River Holdings,2457000000.0,5,491400000.0
Atlas Venture,2451647317.0,221,11093427.0
Morgenthaler Ventures,2446251780.0,137,17855852.0
Sigma Partners,2435836902.0,200,12179185.0
Morgan Stanley,2421190000.0,31,78102903.0
Meritech Capital Partners,2419853366.0,64,37228513.0
SoftBank Capital,2418853789.0,133,18186871.0
DCM,2306594671.0,146,15798594.0
Alta Partners,2298270668.0,87,26416904.0
Google Ventures,2205518938.0,227,9715942.0
First Round Capital,2136849228.0,361,5919250.0
Austin Ventures,2108599734.0,169,12476922.0
MPM Capital,2095199892.0,69,30365216.0
SV Angel,2058667665.0,483,4253446.0
Sutter Hill Ventures,2016553000.0,111,18167144.0
Trinity Ventures,1992508456.0,188,10598449.0
Maverick Capital,1969959226.0,32,61561226.0
Fidelity Ventures,1959282203.0,51,38417298.0
ARCH Venture Partners,1957462279.0,92,21276764.0
Tiger Global Management,1944366440.0,42,46294439.0
Delphi Ventures,1937816498.0,62,31255105.0
Scale Venture Partners,1921959177.0,90,21355102.0
Bain Capital Ventures,1911670000.0,111,17222252.0
RRE Ventures,1909411065.0,207,9224208.0
Versant Ventures,1886747810.0,89,21199414.0
Advanced Technology Ventures,1871628552.0,95,19701353.0
Johnson & Johnson Development Corporation,1869689266.0,72,25967906.0
Ignition Partners,1860520100.0,154,12081299.0
Founders Fund,1855663306.0,130,14274333.0
Columbia Capital,1821090000.0,80,22763625.0
New Leaf Venture Partners,1816845199.0,81,22430188.0
Silicon Valley Bank,1816578259.0,107,16977367.0
Crosslink Capital,1811881638.0,126,14380013.0
Globespan Capital Partners,1793320000.0,120,14944333.0
Summit Partners,1787829965.0,50,35756599.0
Investor Growth Capital,1780761922.0,83,21199547.0
Sofinnova Ventures,1754260227.0,75,23390136.0
Rho Capital Partners,1748006308.0,99,17656629.0
Adams Street Partners,1741101000.0,69,25233348.0
Flagship Ventures,1730138709.0,97,17836482.0
Spark Capital,1729690000.0,127,13513203.0
Alloy Ventures,1729374944.0,93,18595430.0
SV Life Sciences,1714659085.0,79,21704545.0
Novartis Venture Fund,1635868929.0,72,22409163.0
August Capital,1586729911.0,111,14294864.0
Pinnacle Ventures,1586470813.0,52,30509054.0
Shasta Ventures,1575791263.0,153,10299289.0
Ontario Teachers' Pension Plan,1563300000.0,12,130275000.0
Essex Woodlands Health Ventures,1557077350.0,43,36211101.0
TA Associates,1550368000.0,31,50011871.0
Bay Partners,1545350900.0,101,15300504.0
Clarus Ventures,1540249033.0,49,31433654.0
Jafco Ventures,1540000002.0,100,15400000.0
DFJ Growth,1525685000.0,31,49215645.0
CMEA Capital,1514287900.0,75,20190505.0
Novo A/S,1513990866.0,44,34408883.0
SAP Ventures,1500540292.0,82,18299272.0
Trident Capital,1495008500.0,102,14656946.0
Balderton Capital,1486267212.0,131,11345551.0
Spectrum Equity,1470298000.0,20,73514900.0
Qualcomm Ventures,1451502933.0,97,14963948.0
GGV Capital,1446650000.0,54,26789815.0
