sector,total_funding,avg_funding,median_funding,company_count,avg_founded_year
Biotech / Healthcare,88279948856.0,20373863.0,5250000.0,4333,2005.0
SaaS / Software,63114677376.0,11147064.0,3000000.0,5662,2006.0
Internet / Web,40862701479.0,11306780.0,1200000.0,3614,2008.0
CleanTech / Energy,38670193597.0,39179527.0,9000000.0,987,2005.0
Hardware / Electronics,34205164431.0,19205595.0,5000000.0,1781,2003.0
Mobile / Telecom,31926462362.0,15673276.0,1681000.0,2037,2008.0
Advertising / Marketing,25295315942.0,12285243.0,3030000.0,2059,2007.0
E-Commerce,20710017515.0,13456802.0,1400000.0,1539,2008.0
Gaming / Media,17465890974.0,11922110.0,1600000.0,1465,2008.0
Other,14220008481.0,9150585.0,1765508.0,1554,2005.0
Fintech,7379067838.0,16006655.0,3660000.0,461,2008.0
Cybersecurity,7119152480.0,19189090.0,5500000.0,371,2005.0
Logistics / Transport,5282628772.0,34984297.0,2650681.0,151,2005.0
Travel / Hospitality,5060645668.0,11606985.0,1330346.0,436,2009.0
EdTech,3948518560.0,8455072.0,1000000.0,467,2007.0
News / Publishing,3179730227.0,16913459.0,1875000.0,188,2008.0
Professional Services,2983361451.0,8774593.0,1700000.0,340,2003.0
PropTech / Real Estate,1690684775.0,13208475.0,1255000.0,128,2009.0
Government / Non-profit,682764312.0,6966983.0,1362500.0,98,2004.0
Local Services,355663009.0,10161800.0,789000.0,35,2003.0
Sports / Fitness,262705987.0,2526019.0,533148.0,104,2009.0
Design / Creative,186378369.0,4235872.0,849098.0,44,2009.0
Consumer Products,114007756.0,5700388.0,2250000.0,20,2010.0
