funding_year,sector,total_funding,deal_count
1960.0,Biotech / Healthcare,50075000.0,2
1960.0,Gaming / Media,0.0,1
1960.0,Internet / Web,0.0,2
1960.0,Other,0.0,1
1960.0,SaaS / Software,2661030.0,3
1973.0,Cybersecurity,0.0,1
1974.0,Other,0.0,1
1974.0,Professional Services,0.0,1
1984.0,Cybersecurity,0.0,1
1984.0,Internet / Web,41000.0,1
1984.0,Mobile / Telecom,100000.0,1
1985.0,Other,0.0,1
1987.0,Internet / Web,2500000.0,1
1987.0,Other,0.0,1
1989.0,SaaS / Software,15000.0,1
1990.0,Professional Services,1000000.0,1
1992.0,Other,2000000.0,1
1993.0,Professional Services,125000.0,2
1994.0,Advertising / Marketing,400000.0,1
1994.0,Other,13000000.0,1
1995.0,E-Commerce,8000000.0,1
1995.0,Hardware / Electronics,0.0,1
1995.0,Internet / Web,8800000.0,3
1995.0,Professional Services,500000.0,1
1995.0,SaaS / Software,0.0,1
1996.0,E-Commerce,0.0,1
1996.0,Internet / Web,9600000.0,3
1996.0,Other,3930000.0,2
1996.0,SaaS / Software,12500.0,1
1997.0,Advertising / Marketing,41000000.0,1
1997.0,Cybersecurity,2000000.0,1
1997.0,Internet / Web,15000000.0,3
1997.0,Other,2520000.0,2
1997.0,Professional Services,100000.0,1
1997.0,SaaS / Software,4000000.0,1
1998.0,Advertising / Marketing,0.0,3
1998.0,Cybersecurity,0.0,1
1998.0,E-Commerce,82336990.0,4
1998.0,Gaming / Media,0.0,1
1998.0,Hardware / Electronics,15800000.0,1
1998.0,Internet / Web,50202000.0,7
1998.0,Other,4700000.0,6
1998.0,Professional Services,100000.0,1
1998.0,SaaS / Software,0.0,4
1999.0,Advertising / Marketing,69513200.0,5
1999.0,Biotech / Healthcare,9736101.0,2
1999.0,CleanTech / Energy,15352300.0,1
1999.0,Cybersecurity,3100048.0,3
1999.0,E-Commerce,112272680.0,8
1999.0,Fintech,7000000.0,3
1999.0,Gaming / Media,30000000.0,1
1999.0,Hardware / Electronics,1800000.0,3
1999.0,Internet / Web,215164000.0,20
1999.0,Mobile / Telecom,15500000.0,6
1999.0,Other,12708053.0,6
1999.0,Professional Services,115200.0,1
1999.0,SaaS / Software,71676789.0,16
2000.0,Advertising / Marketing,89587600.0,11
2000.0,Biotech / Healthcare,15000000.0,2
2000.0,Cybersecurity,18211701.0,3
2000.0,E-Commerce,65268800.0,13
2000.0,Fintech,100000000.0,1
2000.0,Gaming / Media,42183943.0,7
2000.0,Hardware / Electronics,89166284.0,6
2000.0,Internet / Web,389307000.0,31
2000.0,Mobile / Telecom,58000000.0,7
2000.0,Other,116312389.0,10
2000.0,Professional Services,45750000.0,5
2000.0,SaaS / Software,405900973.0,27
2000.0,Travel / Hospitality,1000000.0,1
2001.0,Advertising / Marketing,27767120.0,5
2001.0,Biotech / Healthcare,79954102.0,3
2001.0,E-Commerce,345000.0,3
2001.0,Fintech,91674900.0,2
2001.0,Gaming / Media,72828622.0,7
2001.0,Hardware / Electronics,44874927.0,5
2001.0,Internet / Web,253200000.0,24
2001.0,Mobile / Telecom,82891364.0,7
2001.0,Other,62424030.0,14
2001.0,Professional Services,20024900.0,6
2001.0,SaaS / Software,97855771.0,18
2002.0,Advertising / Marketing,292452000.0,12
2002.0,Biotech / Healthcare,26096631.0,5
2002.0,CleanTech / Energy,6000000.0,2
2002.0,Cybersecurity,0.0,1
2002.0,E-Commerce,469543.0,1
2002.0,Gaming / Media,10225000.0,4
2002.0,Hardware / Electronics,89844951.0,6
2002.0,Internet / Web,96645650.0,19
2002.0,Logistics / Transport,4704370.0,1
2002.0,Mobile / Telecom,77853932.0,12
2002.0,Other,121948701.0,15
2002.0,Professional Services,21813370.0,5
2002.0,SaaS / Software,159444575.0,32
2003.0,Advertising / Marketing,41000000.0,6
2003.0,Biotech / Healthcare,108039498.0,13
2003.0,CleanTech / Energy,5987940.0,3
2003.0,Cybersecurity,4500000.0,2
2003.0,E-Commerce,85392200.0,7
2003.0,EdTech,0.0,1
2003.0,Fintech,6292200.0,1
2003.0,Gaming / Media,38573810.0,7
2003.0,Hardware / Electronics,64156040.0,14
2003.0,Internet / Web,137764740.0,27
2003.0,Mobile / Telecom,121529041.0,15
2003.0,Other,25086349.0,9
2003.0,Professional Services,29385000.0,7
2003.0,SaaS / Software,235210101.0,40
2003.0,Travel / Hospitality,2000000.0,2
2004.0,Advertising / Marketing,90543600.0,18
2004.0,Biotech / Healthcare,292952084.0,26
2004.0,CleanTech / Energy,28058000.0,6
2004.0,Cybersecurity,32750000.0,5
2004.0,E-Commerce,73649076.0,12
2004.0,Fintech,0.0,1
2004.0,Gaming / Media,129195477.0,19
2004.0,Hardware / Electronics,262302584.0,21
2004.0,Internet / Web,514728397.0,64
2004.0,Logistics / Transport,7500000.0,1
2004.0,Mobile / Telecom,164953340.0,21
2004.0,News / Publishing,3000000.0,1
2004.0,Other,198806502.0,28
2004.0,Professional Services,77866643.0,5
2004.0,SaaS / Software,323675160.0,58
2005.0,Advertising / Marketing,1361372747.0,146
2005.0,Biotech / Healthcare,1741063587.0,164
2005.0,CleanTech / Energy,170697194.0,17
2005.0,Cybersecurity,474240000.0,36
2005.0,E-Commerce,154808621.0,29
2005.0,EdTech,751000.0,3
2005.0,Fintech,25722600.0,6
2005.0,Gaming / Media,261272257.0,43
